Dataset,MAE,MSE,RMSE,R2,MAPE
Training Set,81274.00756896628,51540084197.83386,227024.4132198867,0.9984450345932149,52633.07485942377
Test Set,235665.23064102052,3146578436338.3,1773859.7566713947,0.930542209330554,63710.650211904314
