贸易方向,年份,出口国,进口国,实际出口额,基准预测,反事实预测(距离×2),原始距离(公里),加倍后距离(公里),绝对变化,相对变化(%)
China→USA,2018,156,842,528163664.38865095,473664711.81864375,449724859.01460904,10182.93078267263,20365.86156534526,-23939852.80403471,-5.054176975125978
USA→China,2018,842,156,128205744.20012411,133223300.73077954,126168285.87898949,10182.93078267263,20365.86156534526,-7055014.851790056,-5.295631329572728
