bin,pred_mean,res_mean,res_std,count
"(-14572962.64, -2328.247]",-76826.56713876058,112685.45830902447,914559.8426181272,5166
"(-2328.247, 4111.272]",781.8997164698504,2492.42358484928,41540.92049975627,5164
"(4111.272, 24359.965]",12304.026438625466,-2678.767634828694,31334.588457771504,5164
"(24359.965, 162147.831]",69243.96511993336,-428.55393326135896,138505.85808996373,5165
"(162147.831, 448292410.814]",3312019.7697786493,125394.8062988835,4298623.244669818,5165
