Distance Multiplier,Predicted Total Trade Value,Change from Baseline %
0.5,584517787.8124543,-3.6860548032570053
0.75,568350526.565622,-6.350016013978029
1.0,606888012.5494233,0.0
1.25,578307536.6884868,-4.709349215990488
1.5,575977069.1836951,-5.093352105584876
2.0,575893144.8935986,-5.107180734320509
3.0,575893144.8935986,-5.107180734320509
5.0,575893144.8935986,-5.107180734320509
