特征,重要性,重要性百分比
gdp_product,2.310822299141838e+18,30.37912169571564
distance,1.915409476875011e+18,25.18084476539898
importer_gdp,1.7365656742271304e+18,22.829682736547955
exporter_gdp,1.2840215860919299e+18,16.880332182313897
exporter,2.052117706957947e+17,2.6978073379662275
importer,1.4417082397657498e+17,1.8953352701254762
year,1.0411628873203712e+16,0.13687601193183224
log_exporter_gdp,0.0,0.0
log_importer_gdp,0.0,0.0
log_gdp_product,0.0,0.0
log_distance,0.0,0.0
