partner_code,partner_name,direction,trade_value_total,trade_quantity_total
842,USA,CN_EXPORT,1429004088.5215237,169156482.67150587
344,"China, Hong Kong SAR",CN_EXPORT,764135503.7123928,1280427581.487884
392,Japan,CN_EXPORT,465442395.152567,112154841.0079366
410,Rep. of Korea,CN_IMPORT,439475542.4392998,137148696.51568902
392,Japan,CN_IMPORT,405206034.22830576,86196765.11914241
